timestamp,city,temperature,description
2026-03-16T15:50:22.613Z,Cardiff,9.34,broken clouds
2026-03-16T16:00:12.668Z,Cardiff,9.58,broken clouds
2026-03-17T10:39:40.605Z,Cardiff,11.63,broken clouds
2026-03-17T10:40:02.755Z,Cardiff,11.63,broken clouds
2026-03-17T14:30:18.453Z,Cardiff,13.97,clear sky
2026-03-17T14:44:20.666Z,Cardiff,12.86,few clouds
2026-03-17T14:49:09.640Z,Cardiff,12.86,few clouds
2026-03-17T14:49:44.498Z,Cardiff,14,clear sky
2026-03-17T15:00:06.770Z,Cardiff,14,clear sky
2026-03-17T16:56:15.504Z,Cardiff,11.93,clear sky
2026-03-17T18:48:43.406Z,Cardiff,10.65,clear sky
2026-03-17T20:29:54.120Z,Cardiff,9.42,clear sky
2026-03-17T22:23:38.365Z,Cardiff,8.79,clear sky
2026-03-18T01:18:01.535Z,Cardiff,6.18,clear sky
2026-03-18T04:14:49.831Z,Cardiff,6.28,clear sky
2026-03-18T06:51:45.215Z,Cardiff,7.51,scattered clouds
2026-03-18T08:37:19.121Z,Cardiff,10.52,few clouds
2026-03-18T10:42:00.040Z,Cardiff,13.63,few clouds
2026-03-18T12:46:15.105Z,Cardiff,16.41,clear sky
2026-03-18T14:56:25.575Z,Cardiff,17.94,clear sky
2026-03-18T16:50:46.125Z,Cardiff,18.32,clear sky
2026-03-18T18:45:01.558Z,Cardiff,13.32,clear sky
2026-03-18T20:26:37.655Z,Cardiff,12.02,clear sky
2026-03-18T22:24:20.601Z,Cardiff,10.69,clear sky
2026-03-19T01:17:55.253Z,Cardiff,9.71,clear sky
2026-03-19T04:13:19.802Z,Cardiff,5.28,clear sky
2026-03-19T06:45:24.675Z,Cardiff,4.79,clear sky
2026-03-19T08:31:44.356Z,Cardiff,7.6,clear sky
2026-03-19T10:30:52.978Z,Cardiff,13.02,clear sky
2026-03-19T12:39:49.793Z,Cardiff,14.83,clear sky
2026-03-19T14:41:56.998Z,Cardiff,15.56,clear sky
2026-03-19T16:46:40.836Z,Cardiff,15.32,clear sky
2026-03-19T18:42:38.931Z,Cardiff,11.48,clear sky
2026-03-19T20:27:25.267Z,Cardiff,10.44,scattered clouds
2026-03-19T22:18:43.956Z,Cardiff,7.89,broken clouds
2026-03-20T01:13:35.290Z,Cardiff,7.21,scattered clouds
2026-03-20T04:05:29.683Z,Cardiff,7.26,broken clouds
2026-03-20T06:42:11.194Z,Cardiff,6.62,scattered clouds
2026-03-20T08:30:48.669Z,Cardiff,6.84,broken clouds
2026-03-20T10:29:00.686Z,Cardiff,10.96,scattered clouds
2026-03-20T12:36:15.432Z,Cardiff,13.89,overcast clouds
2026-03-20T14:37:34.780Z,Cardiff,14.49,overcast clouds
2026-03-20T16:32:36.160Z,Cardiff,14.6,overcast clouds
2026-03-20T18:34:28.230Z,Cardiff,12.32,overcast clouds
2026-03-20T20:21:46.752Z,Cardiff,10.1,overcast clouds
2026-03-20T22:18:30.080Z,Cardiff,7.33,overcast clouds
2026-03-21T01:08:39.387Z,Cardiff,7.07,overcast clouds
2026-03-21T03:56:26.930Z,Cardiff,6.97,overcast clouds
2026-03-21T05:04:11.477Z,Cardiff,4.16,overcast clouds
2026-03-21T06:31:35.832Z,Cardiff,7.05,overcast clouds
2026-03-21T08:21:03.837Z,Cardiff,8.11,overcast clouds
2026-03-21T10:17:14.791Z,Cardiff,10.94,broken clouds
2026-03-21T12:27:51.623Z,Cardiff,12.91,overcast clouds
2026-03-21T14:18:29.139Z,Cardiff,14.09,overcast clouds
2026-03-21T16:18:14.001Z,Cardiff,14.36,scattered clouds
2026-03-21T18:23:04.638Z,Cardiff,12.63,broken clouds
2026-03-21T20:15:51.521Z,Cardiff,8.46,clear sky
2026-03-21T22:14:58.909Z,Cardiff,6.03,clear sky
2026-03-22T01:17:40.053Z,Cardiff,6.62,haze
2026-03-22T04:10:50.711Z,Cardiff,2.38,clear sky
2026-03-22T06:38:49.610Z,Cardiff,2.16,few clouds
2026-03-22T08:23:23.219Z,Cardiff,5.02,scattered clouds
2026-03-22T10:17:52.492Z,Cardiff,11.28,scattered clouds
2026-03-22T12:29:28.836Z,Cardiff,13.16,broken clouds
2026-03-22T14:19:47.354Z,Cardiff,13.62,overcast clouds
2026-03-22T16:19:15.160Z,Cardiff,13.05,overcast clouds
2026-03-22T18:23:24.307Z,Cardiff,10.28,overcast clouds
2026-03-22T20:16:36.477Z,Cardiff,9.88,overcast clouds
2026-03-22T22:15:53.650Z,Cardiff,8.45,overcast clouds
2026-03-23T01:18:16.259Z,Cardiff,7.29,broken clouds
2026-03-23T04:19:02.832Z,Cardiff,5.98,overcast clouds
2026-03-23T06:58:35.250Z,Cardiff,6.13,overcast clouds
2026-03-23T08:44:08.181Z,Cardiff,8.56,overcast clouds
2026-03-23T10:44:01.449Z,Cardiff,11.26,overcast clouds
2026-03-23T12:42:46.503Z,Cardiff,13.38,overcast clouds
2026-03-23T14:49:53.915Z,Cardiff,13.22,overcast clouds
2026-03-23T16:46:01.147Z,Cardiff,12.33,overcast clouds
2026-03-23T18:39:50.460Z,Cardiff,10.45,overcast clouds
2026-03-23T20:29:11.799Z,Cardiff,9.42,overcast clouds
2026-03-23T22:21:54.584Z,Cardiff,9.41,overcast clouds
2026-03-24T01:11:15.282Z,Cardiff,10.04,overcast clouds
2026-03-24T04:09:37.820Z,Cardiff,9.63,overcast clouds
2026-03-24T06:53:12.461Z,Cardiff,9.37,overcast clouds
2026-03-24T08:39:57.630Z,Cardiff,10.53,overcast clouds
2026-03-24T10:41:56.744Z,Cardiff,12.16,overcast clouds
2026-03-24T12:47:39.393Z,Cardiff,12.42,overcast clouds
2026-03-24T14:51:09.822Z,Cardiff,11.35,overcast clouds
2026-03-24T16:52:39.699Z,Cardiff,12.04,overcast clouds
2026-03-24T18:49:54.798Z,Cardiff,11.14,light rain
2026-03-24T20:32:01.544Z,Cardiff,9.82,broken clouds
2026-03-24T22:21:30.138Z,Cardiff,8.61,light rain
2026-03-25T01:16:52.995Z,Cardiff,7.27,light rain
2026-03-25T04:10:45.645Z,Cardiff,5.86,overcast clouds
2026-03-25T06:52:06.082Z,Cardiff,4.44,broken clouds
2026-03-25T08:38:36.262Z,Cardiff,5.85,scattered clouds
2026-03-25T10:39:16.689Z,Cardiff,7.15,broken clouds
2026-03-25T12:43:50.414Z,Cardiff,8.29,few clouds
2026-03-25T14:52:42.353Z,Cardiff,9.34,moderate rain
2026-03-25T16:54:19.093Z,Cardiff,7.16,few clouds
2026-03-25T18:43:21.964Z,Cardiff,6.54,heavy intensity rain
2026-03-25T20:29:22.762Z,Cardiff,4.24,scattered clouds
2026-03-25T22:26:10.150Z,Cardiff,4.65,few clouds
2026-03-26T01:21:50.344Z,Cardiff,4.92,overcast clouds
2026-03-26T04:25:18.195Z,Cardiff,3.74,overcast clouds
2026-03-26T06:57:48.728Z,Cardiff,4.09,overcast clouds
2026-03-26T08:43:24.267Z,Cardiff,7.06,broken clouds
2026-03-26T10:43:38.680Z,Cardiff,8.82,broken clouds
2026-03-26T12:52:04.667Z,Cardiff,10.73,scattered clouds
2026-03-26T14:56:52.587Z,Cardiff,10.57,broken clouds
2026-03-26T16:53:06.209Z,Cardiff,10.16,overcast clouds
2026-03-26T18:53:14.163Z,Cardiff,8.45,overcast clouds
2026-03-26T20:27:33.798Z,Cardiff,8.05,overcast clouds
2026-03-26T22:18:49.421Z,Cardiff,7.94,broken clouds
2026-03-27T01:21:36.395Z,Cardiff,7.79,overcast clouds
2026-03-27T04:26:32.911Z,Cardiff,7.9,overcast clouds
2026-03-27T06:56:42.290Z,Cardiff,9.82,overcast clouds
2026-03-27T08:40:17.995Z,Cardiff,10.32,light rain
